subtype	FDR	geom_mean_c1	geom_mean_c2	fold_change	probe_set	description	gene_symbol
CD-2	0.0000082	0.129923	1.2745767	0.1019343	219463_at	chromosome 20 open reading frame 103	C20orf103
CD-2	0.0000652	0.1641726	1.2396125	0.1324386	200953_s_at	cyclin D2	CCND2
CD-2	< 1e-07	0.1758338	1.2295412	0.1430076	205159_at	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"	CSF2RB
CD-2	0.0000149	0.1810362	1.2252865	0.1477501	205968_at	"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3"	KCNS3
CD-2	< 1e-07	0.1884578	1.2194482	0.1545435	226333_at	interleukin 6 receptor	IL6R
CD-2	< 1e-07	0.1918788	1.216843	0.1576857	204489_s_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.0000369	0.2110834	1.203122	0.1754464	201387_s_at	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	UCHL1
CD-2	0.0000743	0.2154382	1.2002047	0.1795013	212063_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.0000019	0.2249977	1.194026	0.1884362	238021_s_at	hCG1815491	hCG_1815491
CD-2	0.0000244	0.2374852	1.1863833	0.2001758	219954_s_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
CD-2	0.000356	0.2480013	1.180288	0.2101193	222943_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
CD-2	0.0000019	0.2535031	1.1772132	0.2153417	204490_s_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.0000236	0.2660028	1.1704966	0.2272563	1557905_s_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.0002	0.2748004	1.1659777	0.2356824	200951_s_at	cyclin D2	CCND2
CD-2	0.0000019	0.2769276	1.1649093	0.2377246	221297_at	"G protein-coupled receptor, family C, group 5, member D"	GPRC5D
CD-2	0.0000067	0.2912466	1.1579486	0.2515195	209835_x_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.000706	0.2953834	1.1560087	0.25552	201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1
CD-2	< 1e-07	0.2984694	1.1545812	0.2585088	209398_at	"histone cluster 1, H1c"	HIST1H1C
CD-2	< 1e-07	0.3041892	1.1519787	0.264058	235902_at	"CDNA FLJ42963 fis, clone BRSTN2012380"	
